,job_title,company_name
28,"Analyst, Data Management and Analytics - BAI Research",1
817,Nift Data Analyst,1
816,New York - Business Analyst,1
858,Principal Data Scientist(Enterprise Data Science)-PS17103,1
859,"Principal Data Scientist, Deep Learning/NLP-PS22319",1
873,Productivity Analyst,1
815,Network Automation and Tooling Engineer,1
857,Principal Data Scientist - QuantumBlack,1
754,Lead software engineer in cloud-based data management and processing,1
876,Program Data Analyst,1
749,"Lead Analyst, Global Business Change- Business Analyst, Client Implementation",1
828,POLICY ANALYST,1
747,Language Engineer,1
748,Laser Communications Systems Data Analyst*,1
827,PMC Planning Coordinator,1
826,Outside Plant Engineer,1
852,Principal Data Engineer,1
831,"Packaging Engineer, Innovation",1
25,"Analyst, Customer Loyalty & Insights",1
855,"Principal Data Scientist (Exelon Utilities) - Oakbrook, IL",1
824,"Optimization Data Scientist Analyst, Data Scientist or Data Scientist Senior-PS22152",1
756,Life Science Application Engineer,1
878,Programmer/Data Scientist,1
750,Lead Business Analyst,1
832,Part Time - Temp Global Strategy & Business Development Analyst,1
753,"Lead Engineer, Database Administration",1
833,Part-time Data Science Instructor,1
877,Programmatic Data & Analytics Analyst,1
856,"Principal Data Scientist - Chicago, IL",1
795,Mechanical Engineer - Hazardous Locations,1
755,Life Fitness - Sr. Business Systems Analyst (Manufacturing),1
767,Machine Learning Engineer – NLP,1
850,Principal Business Analyst,1
793,Master Data Business Analyst,1
777,"Manager, Data Analytics",1
778,"Manager, Data Science",1
866,Product Analytics Engineer,1
779,Manufacturing Engineer,1
843,Policy Analyst- Data,1
780,Manufacturing Engineer - Supply Chain,1
781,Market Data Analyst,1
805,Mfg. Supply Chain Material Analyst,1
851,Principal Business Systems Analyst,1
804,Medical Physics Engineer,1
845,Premier Data Analyst,1
865,Product Analyst - New Product,1
846,Pricing & Business Analyst,1
847,Pricing & Promotions Data Scientist,1
802,Medical Device Research Engineer,1
848,Pricing Analyst,1
783,Market Intelligence and Business Analyst,1
849,"Principal Analyst/Assistant Director, Data Science",1
786,"Marketing Analyst, Business Intelligence",1
803,Medical Economics Data Analyst,1
862,Process Scientist / Engineer I,1
787,Marketing Business Analyst,1
867,Product Business Analyst,1
806,Microsoft Excel Analyst,1
814,NetSuite Business Analyst,1
807,"Mid-level Workflow Business analyst, full time",1
27,"Analyst, Data Analytics",1
872,Product Specialist/Business Analyst,1
792,Master Data Analyst,1
800,Medicaid Management Intern,1
791,Marketing Data and Business Analyst,1
871,Product Mgmt Business Analyst,1
860,Principal Data Warehouse Engineer,1
771,"Machine Learning, Data Science Internship",1
840,Platform Analyst,1
812,National Federal Tax - Business Analyst,1
23,"Analyst, Business Process Management",1
773,Mainframe Natural Engineer (Associate),1
841,"Platforms Customer Solutions Engineer, gTech",1
842,Policy Analyst,1
811,NLP Engineer,1
797,Media Data Analyst,1
774,Management Analyst,1
775,Manager - Data Engineering,1
810,Muni Credit - Jr. Research Analyst,1
809,"Mortgage Markets Associate (Chicago) - Market Operations, Monitoring and Analysis - Markets Group",1
868,Product Data Analyst,1
838,Pharmacy Research Associate,1
955,"SQL Engineer, Parts Team",1
880,Project Assistant,1
1073,"Sr Consultant, Data Base Admin",1
9,Ambulatory Business Analyst,1
1077,Sr Solutions Engineer - Solutions Engineering,1
1078,Sr. Analyst Strategy & Planning,1
1079,"Sr. Associate, Data & Analytics Modeler, Machine Learning",1
1080,"Sr. Associate, Data Scientist, Machine Learning",1
1082,Sr. Business Analyst - Office of the CEO,1
7,Agile Product Manager Business Analyst,1
1084,Sr. Business Operations Analyst,1
6,Administrative Assistant,1
1088,"Sr. Data Engineer, Customer Care",1
1091,"Sr. IT Business Analyst, Insurance",1
1092,Sr. Systems Analyst Programmer - Data Management and Analysis,1
1094,Stability Coordination Scientist,1
1095,Staff Data Engineer,1
1096,Staff Engineer,1
1097,Staff Scientist,1
1098,Staff Scientist I,1
1101,Statistical Arbitrage Trader,1
4,Account Coordinator - Data Analytics,1
1104,Statistical Intern,1
1105,Statistical Programmer,1
1074,Sr Data Engineer,1
1071,Sr Business Develop Analyst,1
1030,Senior Data Scientist - Decision Sciences Personal Valuation Team,1
1070,Sr Business Analyst Dig Pt Ex,1
1033,Senior Data Scientist / Pre-Sales Support,1
1037,"Senior Data Scientist, Flights, Cruise & Car",1
1038,"Senior Data Scientist, Member Experience",1
1039,"Senior Data Scientist, User Fraud",1
1040,Senior De-Identification Data Scientist,1
1041,"Senior Engineer, Data Engineering",1
1042,Senior Information Security Data Engineer,1
1046,Senior Project Engineer,1
1047,"Senior Specialist, Data Engineer",1
1050,"Services, Business Finance Spend Management, Senior Analyst/Associate",1
13,Analyst - IT,1
1053,Software / Data Analyst,1
12,Analyst - Employee Insights,1
11,Analyst - Data Entry,1
1057,Software Development Engineer - Amazon Robotics - Data Visualization Team,1
1059,Software Engineer -Data,1
1060,Software Engineer in TEST,1
1062,"Software Engineering Intern, BS, Fall 2019",1
1064,Solutions Data Engineer,1
1067,Space Planning Associate,1
1068,Sr Analytics Consultant: Python / R and/or Machine Learning (56921BR),1
1107,Strategic Analyst - Routing,1
1108,"Strategic Executive, State and Local Government",1
1109,Strategy & Analytics – Business Strategy - Manager,1
1110,Strategy & Analytics – Business Strategy - Senior Consultant,1
1143,Tracking and Monitoring Data Analyst,1
1144,Traded Risk Control Business Analyst,1
1145,Translational Data Scientist,1
1146,Treasury Project Business Analyst,1
1147,U.S. Commercial Associate Data Scientist (USBU),1
2,AI Engineering - Data Engineer Role - Associate,1
1150,Uber Freight Credit & Collections Analyst,1
1151,University Programs: Program Planner I,1
1152,VP of Engineering – Machine Learning,1
1153,"VP, Data Science",1
1154,Venture Capital Analyst - Data Scientist,1
1156,VisionPLUS Cards Business Analyst,1
1157,"Wealth Management, Digital Operations Product Analyst, Associate",1
1158,Web Engineer – Data Infrastructure,1
1159,Wetland Scientist,1
1161,Wireless/Telecom Engineer - Paid Summer Internship,1
1163,Workforce Data Science Business Analyst,1
1164,data analyst,1
1165,eCommerce Data Engineer,1
1166,eDiscovery DR & Backup Engineer,1
1167,iOS Engineer,1
1142,Title: Jr. Validation Engineer/QA Analyst/ Jr. QA Tester/Business Analyst/BA,1
1141,Third Party Engagement Analyst,1
1140,Temporary- Business Analyst,1
1126,Systems Engineer,1
1111,Strategy Analyst Risk Assessment,1
1115,Summer Intern,1
1116,Summer Intern-Market Data Analyst,1
1118,Supply Chain - Business Analyst,1
1119,Supply Chain Business Systems Analyst,1
1120,Support Engineer,1
1121,Support Representative,1
1122,System Operations Engineer - Junior and Mid-level,1
1124,Systems Analyst II - Path to Green Unstructured Data,1
1127,Systems Engineer - Data Platform,1
1139,"Temp - Engineer, Post - Production",1
1128,TV Data Analyst,1
1129,TV Data Scientist,1
1130,Tableau Data Analyst & Visualization Consultant,1
1131,Talent Acquisition Data Analyst,1
1133,Technical Analyst - Entry Level,1
3,AI Engineering – Machine Learning Engineer – VP,1
1135,Technical Business Analyst - AML BSA,1
1136,Technical Business Analyst- School of Med,1
1138,Technical Data Engineer Lead,1
1032,Senior Data Scientist / Machine Learning,1
1029,Senior Data Scientist - Credit Modeler,1
881,"Project Controls Group Lead, Google Data Centers",1
917,Reporting Analyst I,1
920,Research Analyst 1,1
921,Research Analyst I,1
922,Research Analyst II,1
923,"Research Analyst, Emerging Markets Corporates",1
926,"Research Analyst, Strategy",1
927,Research Assistant for Healthcare Policy,1
929,Research Data Clerk,1
930,Research Engineer - Energy Resources Center,1
932,Research Platform Engineer,1
933,"Research Scientist, Machine Learning",1
937,"Retail Services Planning & Analysis Analytics and Reporting Analyst - Elk Grove Village, IL",1
938,Retirement/Insurance Business Analyst,1
939,Rev Cycle Business Analyst,1
942,Revenue Operations Analyst,1
943,Risk & Insurance Programs Business Analyst,1
21,"Analyst, B2B Sales Insights Analytics",1
946,SAP S4 HANA Data Analyst,1
19,Analyst Sales Strategy & Planning,1
949,SIS Business Analyst,1
950,"SQL Analyst, Consumer Panel Data",1
952,"SQL Data Analyst, Medical Terminology",1
919,Research Analyst (New York or San Francisco Office),1
915,Reporting & Data Analyst,1
1028,"Senior Data Scientist - Cambridge, MA",1
914,Relativity Specialist - Trace,1
882,Project Manager - Business Analyst,1
883,Project Manager - Data Management,1
884,Property Associate,1
885,Provider Data Analyst,1
888,QA Automation Engineer,1
889,QA Engineer,1
890,QA Tester,1
22,"Analyst, Business Performance and Analytics",1
894,Quality Engineer,1
895,Quality Improvement Data Analyst,1
899,"Quantitative Development Internship, Summer 2020",1
900,Quantitative Finance Analyst,1
901,Quantitative Marketing Analyst,1
903,Quantitative Research and Portfolio Analyst,1
905,Quantitative Researcher / Quantitative Research Analyst,1
906,Quantitative Trading Analyst,1
908,R&D Engineer,1
909,RE Controls & Operations Business Analyst,1
911,RMBS Data Scientist,1
912,Regulatory Business Analyst,1
913,Reimbursement Cycle Data Analyst,1
